Date, Open, High, Low, Close, Volume
10/08/18, 263.77, 264.85, 262.38, 264.47, 3219556
10/05/18, 266.19, 266.77, 263.02, 264.54, 2564702
10/04/18, 267.57, 267.66, 264.37, 266.04, 5004396
10/03/18, 269.02, 269.47, 267.72, 268.24, 2505783
10/02/18, 267.97, 268.67, 267.55, 268.01, 3034122
10/01/18, 268.46, 269.175, 267.39, 268.04, 1969245
09/28/18, 266.50, 267.65, 266.43, 267.05, 1774303
09/27/18, 266.876, 268.24, 266.60, 267.08, 3077514
09/26/18, 267.32, 268.54, 265.95, 266.34, 2568392
09/25/18, 269.10, 269.1725, 268.15, 268.33, 2360730
09/24/18, 268.93, 269.068, 268.02, 268.66, 2070891
09/21/18, 270.55, 270.67, 269.37, 269.56, 1352509
09/20/18, 268.89, 270.10, 268.79, 269.75, 3349666
09/19/18, 267.35, 268.03, 267.23, 267.60, 2077480
09/18/18, 266.10, 267.92, 266.09, 267.30, 1823641
09/17/18, 267.22, 267.2638, 265.59, 265.85, 2515315
09/14/18, 267.47, 267.6246, 266.47, 267.36, 1860996
09/13/18, 266.78, 267.418, 266.47, 267.22, 2087871
09/12/18, 265.61, 266.26, 264.83, 265.71, 3019831
09/11/18, 264.03, 266.0499, 263.68, 265.68, 3420386
09/10/18, 265.28, 265.57, 264.51, 264.68, 2832699
09/07/18, 263.63, 265.26, 263.45, 264.18, 2634408
09/06/18, 265.69, 265.99, 263.70, 264.82, 1687900
09/05/18, 265.91, 266.13, 264.52, 265.60, 4595466
09/04/18, 266.35, 266.66, 265.26, 266.35, 3623299
08/31/18, 266.33, 267.2163, 265.83, 266.72, 3172354
08/30/18, 267.31, 267.71, 266.12, 266.71, 2625499
08/29/18, 266.59, 268.05, 266.34, 267.80, 2116106
08/28/18, 266.76, 266.83, 265.89, 266.34, 3027196
08/27/18, 265.38, 266.35, 265.26, 266.19, 2370987
08/24/18, 263.16, 264.29, 263.11, 264.20, 2329248
08/23/18, 262.68, 263.63, 262.21, 262.55, 2308144
08/22/18, 262.64, 263.45, 262.39, 262.93, 1708066
08/21/18, 263.01, 263.9732, 262.86, 263.01, 1937866
08/20/18, 262.40, 262.74, 261.90, 262.44, 1245462
08/17/18, 260.71, 262.38, 260.35, 261.86, 2278823
08/16/18, 260.36, 261.889, 260.35, 260.99, 1693138
08/15/18, 259.43, 259.55, 257.39, 258.89, 2587788
08/14/18, 259.94, 261.07, 259.55, 260.81, 1531808
08/13/18, 260.41, 261.07, 258.90, 259.14, 3685433
08/10/18, 260.36, 260.964, 259.43, 260.12, 2395462
08/09/18, 262.33, 262.74, 261.76, 261.90, 1084398
08/08/18, 262.23, 262.67, 261.79, 262.23, 1560785
08/07/18, 262.20, 262.78, 262.08, 262.37, 2619229
08/06/18, 260.56, 261.83, 260.20, 261.64, 1842998
08/03/18, 259.60, 260.66, 259.39, 260.66, 2017560
08/02/18, 256.73, 259.60, 256.48, 259.39, 1767326
08/01/18, 258.64, 259.1932, 257.351, 258.08, 1651723
07/31/18, 258.02, 259.09, 257.60, 258.40, 1992498
07/30/18, 258.60, 258.78, 256.64, 257.10, 1601425
07/27/18, 260.73, 260.74, 257.58, 258.59, 2666731
07/26/18, 260.14, 261.005, 260.10, 260.28, 2166453
07/25/18, 258.54, 261.25, 258.43, 261.05, 2623349
07/24/18, 258.84, 259.57, 257.82, 258.68, 2916394
07/23/18, 256.73, 257.61, 256.40, 257.47, 1447020
07/20/18, 257.00, 257.65, 256.78, 256.98, 2710786
07/19/18, 257.50, 257.90, 256.75, 257.22, 2050473
07/18/18, 257.76, 258.32, 257.28, 258.20, 2606817
07/17/18, 255.85, 258.06, 255.80, 257.73, 1825871
07/16/18, 256.89, 257.01, 256.16, 256.63, 993457
07/13/18, 256.49, 257.159, 255.99, 256.79, 1814928
07/12/18, 255.66, 256.66, 255.01, 256.57, 2874031
07/11/18, 254.60, 255.41, 254.03, 254.39, 2335052
07/10/18, 255.75, 256.30, 255.45, 256.14, 1314531
07/09/18, 254.05, 255.32, 254.01, 255.25, 3979469
07/06/18, 250.91, 253.39, 250.52, 253.01, 2622491
07/05/18, 250.07, 250.94, 248.91, 250.92, 1948090
07/03/18, 250.68, 250.76, 248.44, 248.79, 1157884
07/02/18, 247.56, 249.89, 247.32, 249.80, 1943137
06/29/18, 249.98, 251.36, 249.10, 249.51, 3711575
06/28/18, 247.30, 249.60, 246.6304, 248.88, 2638408
06/27/18, 251.27, 252.73, 248.43, 248.53, 3433775
06/26/18, 250.66, 251.5301, 249.91, 250.61, 2971320
06/25/18, 252.37, 252.5099, 248.35, 250.06, 6690013
06/22/18, 254.40, 254.52, 253.32, 253.57, 3092670
06/21/18, 254.66, 254.67, 252.58, 253.12, 4037572
06/20/18, 254.97, 255.37, 254.32, 254.71, 1578179
06/19/18, 252.83, 254.4565, 252.42, 254.25, 1863323
06/18/18, 254.18, 255.36, 253.71, 255.22, 2019689
06/15/18, 255.27, 256.07, 254.13, 255.83, 2000057
06/14/18, 256.31, 256.62, 255.46, 256.05, 1914094
06/13/18, 256.53, 256.77, 255.23, 255.31, 2507760
06/12/18, 256.39, 256.63, 255.60, 256.33, 1182220
06/11/18, 255.79, 256.67, 255.70, 255.90, 2648046
06/08/18, 254.36, 255.62, 254.19, 255.57, 1517453
06/07/18, 255.37, 255.70, 253.88, 254.77, 2616287
06/06/18, 253.37, 254.96, 252.72, 254.89, 2763168
06/05/18, 252.66, 253.13, 251.87, 252.87, 1491157
06/04/18, 252.17, 252.7983, 251.96, 252.52, 2031482
06/01/18, 250.23, 251.65, 250.17, 251.41, 1953882
05/31/18, 249.99, 250.30, 248.28, 248.79, 2378804
05/30/18, 248.53, 250.88, 248.43, 250.41, 1359687
05/29/18, 248.28, 249.08, 245.97, 247.15, 4465821
05/25/18, 250.04, 250.64, 249.49, 250.04, 1654804
05/24/18, 250.74, 251.00, 248.76, 250.67, 2025388
05/23/18, 249.12, 251.15, 248.95, 251.15, 1484145
05/22/18, 251.67, 251.939, 250.10, 250.37, 1055352
05/21/18, 250.77, 251.68, 250.43, 251.09, 1263289
05/18/18, 249.53, 249.85, 248.89, 249.26, 1703135
05/17/18, 249.79, 250.99, 249.08, 249.88, 1714614
05/16/18, 249.08, 250.54, 249.07, 250.09, 2588718
05/15/18, 249.50, 249.52, 248.06, 249.03, 2600622
05/14/18, 251.12, 251.76, 250.21, 250.75, 1478203
05/11/18, 250.04, 250.9164, 249.48, 250.47, 1703455
05/10/18, 248.36, 250.2002, 248.25, 249.86, 1537619
05/09/18, 245.86, 247.90, 245.36, 247.54, 1506163
05/08/18, 244.83, 245.53, 243.57, 245.16, 1924488
05/07/18, 245.19, 246.19, 244.46, 245.17, 3127179
05/04/18, 240.25, 245.055, 239.8946, 244.41, 1785210
05/03/18, 240.88, 241.8999, 237.92, 241.21, 2666472
05/02/18, 243.21, 244.02, 241.36, 241.78, 1636419
05/01/18, 242.45, 243.52, 240.76, 243.44, 2323139
04/30/18, 245.51, 246.05, 242.85, 242.92, 2146101
04/27/18, 245.23, 245.57, 243.89, 244.92, 2178868
04/26/18, 243.22, 245.47, 242.77, 244.66, 2106791
04/25/18, 241.51, 242.63, 239.60, 242.17, 2354766
04/24/18, 245.97, 246.12, 240.01, 241.55, 3653453
04/23/18, 245.55, 246.08, 243.75, 244.89, 1472625
04/20/18, 246.95, 247.13, 243.97, 245.00, 2103856
04/19/18, 247.62, 247.89, 245.96, 247.00, 1997232
04/18/18, 248.66, 249.22, 247.9439, 248.36, 1365069
04/17/18, 247.42, 248.8142, 246.875, 248.22, 2301788
04/16/18, 245.27, 246.35, 244.41, 245.58, 2149239
04/13/18, 245.84, 245.84, 242.50, 243.60, 2887665
04/12/18, 243.71, 245.25, 243.47, 244.28, 1723600
04/11/18, 242.00, 243.99, 241.95, 242.25, 2068330
04/10/18, 242.75, 244.38, 241.57, 243.54, 2905551
04/09/18, 240.15, 243.2499, 239.32, 239.59, 2955982
04/06/18, 241.94, 243.51, 236.98, 238.62, 4931574
04/05/18, 243.90, 244.89, 242.80, 243.99, 3436604
04/04/18, 235.87, 242.81, 235.70, 242.24, 4598042
04/03/18, 237.81, 240.00, 235.93, 239.48, 3287873
04/02/18, 241.19, 241.70, 233.92, 236.48, 4696395
03/29/18, 239.85, 243.61, 239.08, 242.08, 2911487
03/28/18, 239.46, 241.22, 237.53, 238.64, 4384132
03/27/18, 244.47, 245.04, 237.77, 239.31, 3363565
03/26/18, 240.82, 243.81, 238.32, 243.53, 5528998
03/23/18, 243.74, 244.52, 237.92, 238.09, 3815476
03/22/18, 247.11, 248.08, 243.03, 243.27, 3589391
03/21/18, 249.94, 252.12, 249.31, 249.47, 2777343
03/20/18, 249.99, 250.6586, 249.33, 250.05, 1991443
03/19/18, 252.25, 252.26, 247.87, 249.61, 2715818
03/16/18, 253.23, 254.08, 252.97, 252.99, 1554574
03/15/18, 253.55, 254.21, 252.22, 252.73, 2161474
03/14/18, 255.33, 255.51, 252.46, 252.97, 2352702
03/13/18, 257.20, 257.71, 253.71, 254.31, 3080622
03/12/18, 256.64, 257.25, 255.583, 256.00, 2029174
03/09/18, 253.40, 256.26, 253.05, 256.25, 2450814
03/08/18, 251.40, 252.02, 250.36, 251.89, 3021617
03/07/18, 248.54, 251.0699, 248.36, 250.72, 2730204
03/06/18, 251.22, 251.25, 249.23, 250.83, 1931994
03/05/18, 246.02, 250.7899, 245.95, 250.20, 3024611
03/02/18, 244.24, 247.86, 243.331, 247.36, 3276498
03/01/18, 249.53, 251.03, 244.45, 246.05, 5182334
02/28/18, 253.37, 253.82, 249.34, 249.34, 2716623
02/27/18, 255.63, 256.34, 252.14, 252.14, 2947118
02/26/18, 253.56, 255.50, 252.99, 255.40, 1891991
02/23/18, 249.82, 252.49, 249.30, 252.49, 2923105
02/22/18, 249.17, 250.90, 247.81, 248.41, 3177722
02/21/18, 249.86, 252.44, 248.11, 248.11, 2797969
02/20/18, 249.995, 251.51, 248.60, 249.42, 3454368
02/16/18, 250.27, 253.00, 250.17, 250.94, 3007455
02/15/18, 249.60, 250.97, 246.98, 250.97, 2923845
02/14/18, 243.00, 248.12, 242.84, 247.76, 3650816
02/13/18, 242.63, 245.00, 241.97, 244.56, 3077691
02/12/18, 242.50, 245.32, 240.66, 243.74, 4236207
02/09/18, 239.60, 242.20, 232.42, 240.44, 9713095
02/08/18, 246.25, 246.43, 236.70, 236.79, 6985672
02/07/18, 246.71, 250.28, 245.92, 245.93, 6240150
02/06/18, 238.80, 247.81, 237.67, 247.28, 11701700
02/05/18, 251.26, 253.47, 241.92, 242.79, 8559206
02/02/18, 257.37, 257.50, 253.09, 253.19, 5532170
02/01/18, 258.29, 260.12, 257.95, 258.73, 3125707
01/31/18, 259.83, 260.38, 257.95, 258.99, 5597301
01/30/18, 259.67, 260.35, 258.46, 258.75, 6678947
01/29/18, 262.83, 263.25, 261.48, 261.54, 5145000
